RunID,RunNumber,AgriculturalSystem,AgriculturalSystemDesign,YearStart,YearEnd,TreeSpecies,TreeStartAge,TreeIntervention,CropSpecies,CropItk,Soil,Climate
monocrop_1980_2020_poplar_20_durum-wheat_Mediterranean,1,monocrop,Default,1980,2020,poplar,20,Default,durum-wheat,Default,Default,Mediterranean
agroforestry_1980_2020_poplar_20_durum-wheat_Mediterranean,2,agroforestry,Default,1980,2020,poplar,20,Default,durum-wheat,Default,Default,Mediterranean
monocrop_1980_2020_poplar_20_durum-wheat_Continental,3,monocrop,Default,1980,2020,poplar,20,Default,durum-wheat,Default,Default,Continental
agroforestry_1980_2020_poplar_20_durum-wheat_Continental,4,agroforestry,Default,1980,2020,poplar,20,Default,durum-wheat,Default,Default,Continental
